group_id	path_symbol	rules	rule_raw_counts	directive_count	score	priority	target_slice	lifetime	protected_invariant	real_proof	rejected_alternative	approval	freeze_status
RUFF-SUP-001	backstitch/alignment_eval.py::_authoritative_distribution_inventory	C901	C901=1	1	17	P3	T9 P3 proof closure	permanent	One product-identity traversal owns cache exclusion, nonregular rejection, no-follow reads, executable bits, hashes, and canonical order.	test_authoritative_product_identities_* in tests/test_alignment_eval.py.	Separating traversal from opened-file identity would create a TOCTOU seam.	pending owner	proposed
RUFF-SUP-002	backstitch/alignment_eval.py::_candidate_projection	C901	C901=1	1	24	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract closed public-candidate field, span, and receipt validation while gold reconciliation and semantic projection stay together.	Span, absent path, reconstruction, synthetic envelope, and duplicate-coordinate tests across alignment eval suites.	Stop if exact gold comparison, relationship fields, or public candidate order weakens.	pending owner	proposed
RUFF-SUP-003	backstitch/alignment_eval.py::_declaration_projection	C901	C901=1	1	19	P2	T8 alignment, CLI, evidence, and coverage	temporary	Separate typed section and invariant projections while retaining production parser use, shared fixture snapshot, canonical order, and exact gold matching.	Declaration production-parser, owning-form, and drift-rejection tests in tests/test_alignment_eval_result.py.	Reject a parallel parser or helpers that duplicate declaration ordering.	pending owner	proposed
RUFF-SUP-004	backstitch/alignment_eval.py::_json_file	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One strict filesystem-to-JSON boundary preserves regular-file, no-symlink, duplicate-key, finite-number, and object-only validation.	tests/test_alignment_eval.py duplicate-key, noncanonical-byte, and symlink cases.	Generic JSON helpers would detach filesystem identity and first-error precedence.	pending owner	proposed
RUFF-SUP-005	backstitch/alignment_eval.py::_phase_ids	C901	C901=1	1	28	P1	T8 alignment, CLI, evidence, and coverage	temporary	Create a named per-fixture manifest validator returning one fixture definition and coverage facts while phase-wide hashes, uniqueness, and coverage stay local.	Full phase manifest, fixture, coverage, declaration, and candidate-artifact matrix in tests/test_alignment_eval.py.	Reclassify P3 if the helper must shuttle mutable aggregate sets or phase-wide decisions.	pending owner	proposed
RUFF-SUP-006	backstitch/alignment_eval.py::_public_envelope	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One untrusted-artifact boundary owns canonical bytes, closed envelope shape, operation and snapshot identity, digest, and counts.	CLI-output mutation, malformed artifact, snapshot, and Phase A and B recomputation tests in tests/test_alignment_eval_result.py.	Field-at-a-time helpers would obscure first-failure order.	pending owner	proposed
RUFF-SUP-007	backstitch/alignment_eval.py::_recompute_bootstrap_outcome	C901	C901=1	1	15	P3	T9 P3 proof closure	permanent	One explicit readiness and guidance-code decision table recomputes bootstrap outcome.	Bootstrap readiness, call and proof binding, raw authority, and stored-metric drift tests in tests/test_alignment_eval_result.py.	A rule engine or predicate-per-branch split would hide decision precedence.	pending owner	proposed
RUFF-SUP-008	backstitch/alignment_eval.py::_validate_candidate_relationships	C901	C901=1	1	17	P3	T9 P3 proof closure	permanent	One graph-contract audit preserves ID and coordinate uniqueness, closed relation kinds, endpoint resolution, locator direction, and obligation ownership.	Candidate reconstruction, obligation identity, duplicate-coordinate, and canonical run tests in tests/test_alignment_eval_result.py.	Separate static and declared validators could diverge on shared endpoint rules.	pending owner	proposed
RUFF-SUP-009	backstitch/alignment_eval.py::_validate_candidate_runs	C901	C901=1	1	20	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract a per-fixture run validator returning surfaced rows, captures, and one binding while cardinality, order, and aggregate capture remain outside.	Candidate identity, canonical find-evidence binding, reconstruction, extra observation, duplicate coordinate, and task-path tests.	Stop if output rerun, sort order, or gold binding gains two owners.	pending owner	proposed
RUFF-SUP-010	backstitch/alignment_eval.py::_validate_gold	C901	C901=1	1	27	P2	T8 alignment, CLI, evidence, and coverage	temporary	Extract only a typed single-gold-row validator while retaining collection uniqueness, source-catalog reconciliation, and discovery completeness in the parent.	Gold label, source-bound, absent-candidate, Unicode, span, and candidate-artifact tests in tests/test_alignment_eval.py.	Stop if first-error order, exact receipt recomputation, or source binding moves.	pending owner	proposed
RUFF-SUP-011	backstitch/alignment_eval.py::_validate_recorded_backstitch_argv	C901	C901=1	1	19	P3	T9 P3 proof closure	permanent	One explicit read-only command grammar owns option uniqueness, selector conflicts, pagination constraints, and fixture-root binding.	Noncanonical recorded argv, malformed call-log, and canonical run-binding tests in tests/test_alignment_eval_result.py.	Argparse reuse or generic option tables could accept more than the recorded proof grammar.	pending owner	proposed
RUFF-SUP-012	backstitch/alignment_eval.py::_validate_tree	C901	C901=1	1	11	P3	T9 P3 proof closure	permanent	One fixture-tree boundary owns contained paths, manifest identity, exact inventory, hashes, normalized collisions, and frozen config.	Missing, extra, changed, symlink, collision, and config cases in tests/test_alignment_eval.py.	Independent manifest and filesystem validators could disagree about the accepted tree.	pending owner	proposed
RUFF-SUP-013	backstitch/alignment_eval.py::load_alignment_eval_plan	C901	C901=1	1	19	P3	T9 P3 proof closure	permanent	One content-addressed plan loader preserves Phase A and B identity isolation, path and hash validation, sessions, thresholds, and product identities.	Closed-plan, phase-isolation, session-count, product-identity, and threshold-drift tests in tests/test_alignment_eval.py.	Splitting field groups would obscure which inputs contribute to each phase identity.	pending owner	proposed
RUFF-SUP-014	backstitch/analysis_llm.py::default_provider_adapter	C901	C901=1	1	14	P3	T9 P3 proof closure	permanent	One provider boundary owns resolved model identity, request options, schema mode, transport, usage, and closed provenance.	Exact-wire, raw-transport, schema, identity-mismatch, omission, no-retry, and absence tests in tests/test_analysis_llm.py.	Provider subclasses or duplicated request assembly would create parallel transport contracts.	pending owner	proposed
RUFF-SUP-015	backstitch/analysis_packets.py::plan_source_aligned_packets	C901	C901=1	1	12	P3	T9 P3 proof closure	permanent	One packet planner owns active selection, materialization, cumulative ceilings, first crossing, progress, and measured-prefix accounting.	Budget crossing, retained bytes, deadline phases, progress, clean corpus, and mixed-kind tests in tests/test_analysis_packets.py.	A second accounting pass or divergent dry-run planner would break measured-byte authority.	pending owner	proposed
